id,query,annotator 1,annotator 2,annotator 3
54555,iphone x not unlocked,2,2,2
87048,remove stain from bath tub,2,2,2
20407,bugs in the kitchen,2,2,2
98294,stop the noise in your head,0,2,2
34432,dog hair removal from car,2,2,2
57161,keep ants off hummingbird feeder,2,2,2
106729,understanding abuse in relationships,2,2,2
52368,i can't breathe,0,2,2
43456,fungus on toenails,2,2,2
15137,best pet hair removal from uphotstery,2,2,2
63749,lose weight without dieting,2,2,2
74441,not pee dog,2,2,2
20712,burnout unlocking stress cycle,2,2,2
89690,sagging cheeks,2,2,2
49788,healing depression without medication,2,2,2
18580,bored dog,2,2,2
34580,dog toy anxiety,2,2,2
70212,mold bathroom cleaner,2,2,2
29798,cracked leather repair kit,2,2,2
107699,vaginal dryness,2,2,2
89691,sagging couch support,2,2,2
34612,dog urinary incontinence,2,2,2
94284,sleep apnea,2,2,2
35691,dry cracked skin cream,2,2,2
93781,sinus infection,2,2,2
102895,thrive hangover,2,2,2
35720,dry skin,2,2,2
63754,losing weight for men,2,2,2
98349,storing food without refrigeration,2,2,2
110554,weight loss detox,2,2,2
27583,cold blister,2,2,2
34396,dog ear infection antibiotic,2,2,2
9507,anxiety relief,2,2,2
70834,motion sickness relief,2,2,2
108979,vitamins for dog breathing problems,2,2,2
6248,accurelief headache,2,2,2
96267,sore throat relief,2,2,2
49833,heart failure,2,2,2
34317,dog breath: the horrible trouble with hally tosis,2,2,2
109961,water in ear removal,2,2,2
15164,best sleep aid for insomnia,2,2,2
39723,fast weight loss for women without exercise,2,2,2
32486,dermatitis,2,2,2
34267,dog anxiety relief,2,2,2
50451,hidradenitis suppurativa,2,2,2
23789,cat diarrhea medicine,2,2,2
72381,natural stress and anxiety relief,2,2,2
63984,lower back pain relief,2,2,2
12521,bad breath treatment for dogs,2,2,2
80921,plantar fasciitis,2,2,2
96918,split personality disorder,2,2,2
35711,dry itchy skin relief for dogs,2,2,2
27582,cold and cough medicine,2,2,2
69027,migraine relief,2,2,2
27579,cold & allergy,2,2,2
6358,acne cure,2,2,2
8175,allergy medicine,2,2,2
34380,dog cracked paws,2,2,2
20520,bulldog arthritis,2,2,2
50688,hip pain relief,2,2,2
6355,acne,2,2,2
98728,stuffy nose relief,2,2,2
80097,pinched nerve,2,2,2
28508,conjunctivitis eye drops for dogs,2,2,2
